gene_id,gene_name,between_tissue_gini,median_within_tissue_gini,median_within_tissue_cv,mean_global_tpm
ENSG00000187559.6,FOXD4L3,0.6074254704186414,0.4148838346443747,0.8735214471817017,0.03609526
ENSG00000119138.5,KLF9,0.4118189287005453,0.2926102302043287,0.5372952222824097,103.49593
ENSG00000198963.11,RORB,0.6338894472616146,0.3817435171988729,0.7765693068504333,1.6683748
ENSG00000204612.1,FOXB2,0.8201073995447112,0.7677882204711642,1.9929851293563845,0.01069214
ENSG00000165030.5,NFIL3,0.4441354669334035,0.3831589664642609,0.8036531209945679,84.857216
ENSG00000127081.15,ZNF484,0.2631329270519484,0.2148200177798853,0.3961179852485657,2.3408856
ENSG00000131668.14,BARX1,0.9387146715046492,0.6168505627464829,1.629874348640442,8.803375
ENSG00000175787.18,ZNF169,0.2723655706824767,0.2078332135234792,0.383347600698471,2.9531898
ENSG00000165244.7,ZNF367,0.3880482008029083,0.2969643400571872,0.6063706874847412,2.6052563
ENSG00000081386.13,ZNF510,0.2342850581385499,0.182226098463365,0.3329077064990997,6.000401
ENSG00000196597.13,ZNF782,0.3219769028599207,0.204515805359797,0.3729856014251709,2.5173845
ENSG00000136936.11,XPA,0.2475331950037543,0.1560899797801258,0.2872336804866791,23.028814
ENSG00000178919.9,FOXE1,0.959370880394046,0.5349264681618875,1.2060749530792236,6.8486347
ENSG00000119508.18,NR4A3,0.5786518584280592,0.6380972616839923,1.7047927379608154,14.164208
ENSG00000066697.15,MSANTD3,0.2185492886667344,0.2006805997492389,0.3789612948894501,10.47351
ENSG00000136870.11,ZNF189,0.2112205786899188,0.1837830628923828,0.3481993377208709,16.398178
ENSG00000186051.7,TAL2,0.3467028663482369,0.4859446940159672,0.9182798862457277,0.3463108
ENSG00000148143.13,ZNF462,0.3139710237113445,0.2130984505788509,0.3962906897068023,4.7059283
ENSG00000136826.15,KLF4,0.5940577014948216,0.3498592346745516,0.7080150842666626,111.68609
ENSG00000173258.13,ZNF483,0.4916766560491668,0.271150638261256,0.5121423006057739,5.379018
ENSG00000228623.9,ZNF883,0.4254702938456864,0.2694613748777881,0.5016915202140808,0.46028233
ENSG00000136866.14,ZFP37,0.341145871711728,0.2434165841387537,0.4397709369659424,1.6034778
ENSG00000157657.15,ZNF618,0.4392413614602266,0.2364420056518768,0.4231653809547424,5.436863
ENSG00000106948.17,AKNA,0.5596354954099662,0.2305349256189577,0.4396973550319671,17.361235
ENSG00000106852.16,LHX6,0.4573971214938803,0.3824490447351203,0.8185662031173706,4.5476403
ENSG00000186130.5,ZBTB6,0.2212134330249602,0.2036207680116301,0.364274799823761,5.328194
ENSG00000171448.9,ZBTB26,0.3109288311023879,0.1963579916291412,0.3532282710075378,7.577109
ENSG00000106689.11,LHX2,0.8352635829069633,0.4940796242852556,1.035468816757202,5.281674
ENSG00000136931.10,NR5A1,0.9383128165277302,0.5872620987366602,2.37608003616333,9.960603
ENSG00000148200.17,NR6A1,0.5430511201419636,0.2513109538899608,0.4693444073200226,3.328864
ENSG00000167081.18,PBX3,0.3880058738647723,0.2094046198412751,0.3851116299629211,19.443636
ENSG00000136944.19,LMX1B,0.7528607913451808,0.4250138249830743,0.8697657585144043,0.8240205
ENSG00000169155.10,ZBTB43,0.2674798999100511,0.189281445434058,0.3638531863689422,10.205389
ENSG00000177125.6,ZBTB34,0.2520945109334457,0.1752099534157194,0.3219696283340454,6.944533
ENSG00000196152.10,ZNF79,0.2782611406315474,0.2057472515949654,0.3735129237174988,4.5920653
ENSG00000171169.9,NAIF1,0.2430992107211487,0.1603375311531548,0.2886376678943634,5.1975713
ENSG00000167157.11,PRRX2,0.6712778530978013,0.3858051773209704,0.842305600643158,18.506859
ENSG00000130711.5,PRDM12,0.6347032960881805,0.4119496930944764,0.7622653245925903,0.13810524
ENSG00000125482.13,TTF1,0.2422668287523616,0.1596173618709906,0.2890372574329376,12.410098
ENSG00000125492.11,BARHL1,0.9497192319652348,0.7724652662336904,2.502743721008301,1.725223
ENSG00000165702.15,GFI1B,0.807782848409467,0.4122154543477614,0.817136824131012,0.46715248
ENSG00000148300.12,REXO4,0.2136652169753314,0.1623387287880394,0.2997811436653137,23.67534
ENSG00000186350.12,RXRA,0.3006432467913751,0.1820708413934447,0.3307518661022186,49.39711
ENSG00000165643.11,SOHLH1,0.8665802715159326,0.4601337742100099,1.1139565706253052,1.8648202
ENSG00000148411.8,NACC2,0.3517392794735774,0.2035899719845802,0.3853983581066131,30.103634
ENSG00000107187.17,LHX3,0.9724069568635804,0.3426132714498877,0.7296919822692871,1.6328909
ENSG00000165684.6,SNAPC4,0.2953266936565569,0.1741817379725271,0.3259716331958771,11.890761
ENSG00000067082.15,KLF6,0.4618184164424698,0.272372570392853,0.5588080286979675,118.582085
ENSG00000151657.12,KIN,0.2450444403942864,0.1602468411093545,0.2878147959709167,5.2878633
ENSG00000107485.18,GATA3,0.865322720915306,0.3624446795972238,0.7911056876182556,25.549166
ENSG00000168267.7,PTF1A,0.919628259121771,0.4116883130617152,0.8231234550476074,0.8613734
ENSG00000150051.14,MKX,0.6033145200010459,0.4076134855747353,0.8382364511489868,2.9693654
ENSG00000183621.15,ZNF438,0.3505354581317092,0.1802289302366012,0.3284875750541687,10.955966
ENSG00000148516.23,ZEB1,0.3833636231919209,0.2021061636020356,0.3678551316261291,28.751543
ENSG00000095794.21,CREM,0.3529327756327013,0.2437877062641049,0.5288342237472534,13.404242
ENSG00000198105.16,ZNF248,0.3678970471259589,0.2342440417670263,0.4368122816085815,11.025085
ENSG00000175395.16,ZNF25,0.3165104096145824,0.1939798796849628,0.3499452471733093,17.73294
ENSG00000189180.16,ZNF33A,0.2642395414149817,0.1716773111626069,0.3107823133468628,14.612821
ENSG00000075407.19,ZNF37A,0.2808355614751937,0.1844028553993393,0.3338027894496918,5.792444
ENSG00000196693.15,ZNF33B,0.3313461329167727,0.2190806091748591,0.3941494226455688,8.768268
ENSG00000243660.12,ZNF487,0.3458715657845995,0.1971272187664416,0.3554490804672241,2.6552913
ENSG00000196793.14,ZNF239,0.3293576795511169,0.2657975324866459,0.4836974740028381,3.9216964
ENSG00000198298.13,ZNF485,0.2778537508002039,0.229715044171444,0.4174838960170746,2.7055705
ENSG00000169740.14,ZNF32,0.2078662682649182,0.1585258704924315,0.2923480868339538,57.652664
ENSG00000165512.5,ZNF22,0.2511879826920269,0.1829195458890467,0.3440234065055847,29.493092
ENSG00000265763.4,ZNF488,0.7866991868830471,0.3755644501080475,0.7533118724822998,3.5276396
ENSG00000165606.10,DRGX,0.8012212733710777,0.54775233972094,1.2987370491027832,0.20479706
ENSG00000150347.17,ARID5B,0.4384984612937225,0.268230720136293,0.5296679735183716,27.907867
ENSG00000138311.18,ZNF365,0.731463796690537,0.3901329140422566,0.7569616436958313,5.0594378
ENSG00000122877.18,EGR2,0.5735298266297814,0.5714544729628405,1.5022443532943726,8.583245
ENSG00000179774.9,ATOH7,0.6218821206137316,0.4235222711739215,0.8305134177207947,0.68115133
ENSG00000138336.9,TET1,0.3677594597976517,0.3199590660705728,0.6108656525611877,0.75738454
ENSG00000122859.5,NEUROG3,0.6588016713582269,0.6740730474043178,1.5399129390716553,0.049812976
ENSG00000165655.17,ZNF503,0.5005937100184534,0.2535451576493545,0.4772966504096985,26.065205
ENSG00000152804.11,HHEX,0.6069399258467388,0.2886670308114867,0.5855342149734497,16.488283
ENSG00000177853.15,ZNF518A,0.3236244952516208,0.2223598587099158,0.4083718955516815,9.762213
ENSG00000196233.14,LCOR,0.2424743915844326,0.1678743519563856,0.3018554449081421,3.0059972
ENSG00000119919.12,NKX2-3,0.907502949858065,0.540689711046244,1.25844407081604,4.549166
ENSG00000075891.24,PAX2,0.9341605603520178,0.667259084200734,1.561070680618286,0.48278335
ENSG00000107807.13,TLX1,0.9640261133044188,0.521736957832137,1.0441755056381226,1.6278169
ENSG00000138136.7,LBX1,0.9192315327117982,0.4176899619185206,0.7837369441986084,0.47088674
ENSG00000107859.11,PITX3,0.8224556708745225,0.6576210600352673,1.747949719429016,0.7125149
ENSG00000077150.21,NFKB2,0.4283911401229565,0.2920017338151488,0.6240527033805847,37.791035
ENSG00000156374.16,PCGF6,0.2743881437172244,0.1779897832999799,0.3209718465805053,8.080048
ENSG00000119950.21,MXI1,0.2888354841651611,0.2116493537373232,0.4001388847827911,43.427635
ENSG00000148737.18,TCF7L2,0.3759186614595443,0.1873736587159028,0.3608446419239044,16.053736
ENSG00000148704.13,VAX1,0.8473559949432861,0.4276251031994305,0.9218022227287292,0.17269912
ENSG00000170370.12,EMX2,0.770458491881248,0.3485815598921552,0.788245439529419,8.140461
ENSG00000095574.12,IKZF5,0.2178349803238575,0.1781052513380929,0.330926239490509,14.207286
ENSG00000188620.11,HMX3,0.9027374933337604,0.55912924421984,1.1161428689956665,0.56457764
ENSG00000188816.4,HMX2,0.9365108647495062,0.4912729371622448,1.021708846092224,0.29916564
ENSG00000229544.9,NKX1-2,0.7130299111973727,0.449102440050485,0.9379907846450806,0.16146214
ENSG00000186766.8,FOXI2,0.6792949350785733,0.4438466124631417,0.8840546607971191,0.43617347
ENSG00000108001.16,EBF3,0.6050145915178051,0.3434834284248482,0.6961308121681213,4.3865004
ENSG00000148826.9,NKX6-2,0.8463918998901484,0.5049946899518452,1.3184882402420044,6.2460675
ENSG00000151650.8,VENTX,0.4921047120556129,0.4011508406594617,0.8406423926353455,3.9143188
ENSG00000198546.15,ZNF511,0.2423405695888924,0.17449172489365,0.3258615732192993,25.682693
ENSG00000185507.21,IRF7,0.4581634442672015,0.2975501343217285,0.6802352666854858,33.71202
ENSG00000177030.19,DEAF1,0.3907582092551553,0.1367269360905033,0.2499463707208633,21.861065
ENSG00000183734.5,ASCL2,0.6189825062631525,0.424686821032578,0.9094638824462892,2.4365902
ENSG00000005801.18,ZNF195,0.2413752735819364,0.1883215504824684,0.3594427406787872,7.940691
ENSG00000149054.16,ZNF215,0.5090040811614231,0.3346595272445897,0.6546429395675659,1.0395063
ENSG00000149050.10,ZNF214,0.3788349956420694,0.2697354633599401,0.4940146207809448,1.0129468
ENSG00000176009.4,ASCL3,0.8370473623692908,0.6443721513347271,1.3154330253601074,0.19975531
ENSG00000166478.10,ZNF143,0.2483415951354017,0.1716298497249729,0.3167939186096191,11.232187
